15.000000,15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,31.000000,31.000000,32.000000,32.000000,33.000000,33.000000,34.000000,34.000000,35.000000,35.000000,36.000000,36.000000,36.000000,37.000000,37.000000,37.000000,38.000000,38.000000,38.000000,39.000000,39.000000,39.000000,39.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,39.000000,39.000000,39.000000,39.000000,38.000000,38.000000,38.000000,37.000000,37.000000,37.000000,36.000000,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,33.000000,33.000000,32.000000,32.000000,31.000000,31.000000,30.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,15.000000,
15.000000,16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,30.000000,31.000000,31.000000,32.000000,33.000000,33.000000,34.000000,34.000000,34.000000,35.000000,35.000000,36.000000,36.000000,37.000000,37.000000,37.000000,38.000000,38.000000,39.000000,39.000000,39.000000,39.000000,40.000000,40.000000,40.000000,40.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000,40.000000,40.000000,40.000000,39.750000,39.000000,39.000000,39.000000,39.000000,38.000000,38.000000,37.000000,37.000000,37.000000,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,34.000000,33.000000,33.000000,32.000000,31.000000,31.000000,30.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,15.000000,
16.000000,16.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,31.000000,31.000000,32.000000,32.000000,33.000000,33.000000,34.000000,34.000000,35.000000,35.000000,36.000000,36.000000,37.000000,37.000000,37.000000,38.000000,38.000000,39.000000,39.000000,39.000000,40.000000,40.000000,40.000000,41.000000,41.000000,41.000000,41.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,41.000000,41.000000,41.000000,41.000000,40.000000,40.000000,40.000000,39.000000,39.000000,39.000000,38.000000,38.000000,37.000000,37.000000,37.000000,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,33.000000,33.000000,32.000000,32.000000,31.000000,31.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,16.000000,16.000000,
16.000000,16.000000,17.000000,17.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,31.000000,31.000000,32.000000,32.000000,33.000000,33.000000,34.000000,34.000000,35.000000,35.000000,36.000000,36.000000,37.000000,37.000000,38.000000,38.000000,39.000000,39.000000,39.000000,40.000000,40.000000,40.000000,41.000000,41.000000,41.000000,42.000000,42.000000,42.000000,42.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000,42.000000,42.000000,42.000000,42.000000,41.000000,41.000000,41.000000,40.000000,40.000000,40.000000,39.000000,39.000000,39.000000,38.000000,38.000000,37.000000,37.000000,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,33.000000,33.000000,32.000000,32.000000,31.000000,31.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,17.000000,17.000000,16.000000,16.000000,
16.000000,17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,31.000000,31.000000,32.000000,32.000000,33.000000,33.000000,34.000000,35.000000,35.000000,36.000000,36.000000,37.000000,37.000000,38.000000,38.000000,38.000000,39.000000,39.000000,40.000000,40.000000,41.000000,41.000000,41.000000,42.000000,42.000000,42.000000,42.000000,43.000000,43.000000,43.000000,43.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000,43.000000,43.000000,43.000000,43.000000,42.000000,42.000000,42.000000,42.000000,41.000000,41.000000,41.000000,40.000000,40.000000,39.000000,39.000000,38.000000,38.000000,38.000000,37.000000,37.000000,36.000000,36.000000,35.000000,35.000000,34.000000,33.000000,33.000000,32.000000,32.000000,31.000000,31.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,23.000000,22.750000,22.000000,22.000000,21.000000,21.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,16.000000,
17.000000,17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,29.000000,30.000000,31.000000,31.000000,32.000000,32.000000,33.000000,33.000000,34.000000,35.000000,35.000000,36.000000,36.000000,37.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,40.000000,41.000000,41.000000,41.000000,42.000000,42.000000,42.000000,43.000000,43.000000,43.000000,44.000000,44.000000,44.000000,44.000000,44.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,44.000000,44.000000,44.000000,44.000000,44.000000,43.000000,43.000000,43.000000,42.000000,42.000000,42.000000,41.000000,41.000000,41.000000,40.000000,40.000000,39.000000,39.000000,38.000000,38.000000,37.000000,37.000000,36.000000,36.000000,35.000000,35.000000,34.000000,33.000000,33.000000,32.000000,32.000000,31.000000,31.000000,30.000000,29.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,17.000000,
17.000000,17.000000,18.000000,18.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,23.000000,23.000000,24.000000,24.000000,25.000000,26.000000,26.000000,27.000000,27.000000,28.000000,29.000000,29.000000,30.000000,31.000000,31.000000,32.000000,32.000000,33.000000,34.000000,34.000000,35.000000,35.000000,36.000000,36.000000,37.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,40.000000,41.000000,41.000000,42.000000,42.000000,42.000000,43.000000,43.000000,43.000000,44.000000,44.000000,44.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,44.000000,44.000000,44.000000,43.000000,43.000000,43.000000,42.000000,42.000000,42.000000,41.000000,41.000000,40.000000,40.000000,39.000000,39.000000,38.000000,38.000000,37.000000,37.000000,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,33.000000,32.000000,32.000000,31.000000,31.000000,30.000000,29.000000,29.000000,28.000000,27.000000,27.000000,26.000000,26.000000,25.000000,24.000000,24.000000,23.000000,23.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,18.000000,18.000000,17.000000,17.000000,
17.000000,18.000000,18.000000,19.000000,19.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,24.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,29.000000,29.000000,30.000000,30.000000,31.000000,32.000000,32.000000,33.000000,34.000000,34.000000,35.000000,35.000000,36.000000,36.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,40.000000,41.000000,41.000000,42.000000,42.000000,42.000000,43.000000,43.000000,44.000000,44.000000,44.000000,45.000000,45.000000,45.000000,45.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,47.000000,47.000000,47.000000,47.000000,46.625000,47.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000,45.000000,45.000000,45.000000,45.000000,44.000000,44.000000,44.000000,43.000000,43.000000,42.000000,42.000000,42.000000,41.000000,41.000000,40.000000,40.000000,39.000000,39.000000,38.000000,38.000000,37.000000,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,33.000000,32.000000,32.000000,31.000000,30.000000,30.000000,29.000000,29.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,24.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,19.000000,19.000000,18.000000,18.000000,17.000000,
17.000000,18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,30.000000,30.000000,31.000000,32.000000,32.000000,33.000000,33.000000,34.000000,35.000000,35.000000,36.000000,37.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,40.000000,41.000000,41.000000,42.000000,42.000000,43.000000,43.000000,44.000000,44.000000,44.000000,44.625000,45.000000,45.000000,46.000000,46.000000,46.000000,46.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000,46.625000,46.000000,46.000000,46.000000,46.000000,45.000000,45.000000,45.000000,44.000000,44.000000,44.000000,43.000000,43.000000,42.000000,42.000000,41.000000,41.000000,40.000000,40.000000,39.000000,39.000000,38.000000,38.000000,37.000000,37.000000,36.000000,35.000000,35.000000,34.000000,33.000000,33.000000,32.000000,32.000000,31.000000,30.000000,30.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,17.000000,
18.000000,18.000000,19.000000,19.000000,20.000000,21.000000,21.000000,22.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,30.000000,30.000000,31.000000,31.000000,32.000000,33.000000,33.000000,34.000000,35.000000,35.000000,36.000000,37.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,41.000000,41.000000,42.000000,42.000000,43.000000,43.000000,43.000000,44.000000,44.000000,45.000000,45.000000,45.000000,46.000000,46.000000,46.000000,47.000000,47.000000,47.000000,47.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,48.000000,47.000000,47.000000,47.000000,47.000000,46.000000,46.000000,46.000000,45.000000,45.000000,45.000000,44.000000,44.000000,43.000000,43.000000,43.000000,42.000000,42.000000,41.000000,41.000000,40.000000,39.000000,39.000000,38.000000,38.000000,37.000000,37.000000,36.000000,35.000000,35.000000,34.000000,33.375000,33.000000,32.000000,31.000000,31.000000,30.000000,30.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,24.000000,24.000000,23.000000,22.000000,22.000000,21.000000,21.000000,20.000000,19.000000,19.000000,18.000000,18.000000,
18.000000,19.000000,19.000000,20.000000,20.000000,21.000000,22.000000,22.000000,23.000000,23.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,29.000000,29.000000,30.000000,31.000000,31.000000,32.000000,33.000000,33.000000,34.000000,35.000000,35.000000,36.000000,37.000000,37.000000,38.000000,38.000000,39.000000,40.000000,40.000000,41.000000,41.000000,42.000000,42.000000,43.000000,43.000000,44.000000,44.000000,45.000000,45.000000,45.000000,46.000000,46.000000,47.000000,47.000000,47.000000,47.000000,48.000000,48.000000,48.000000,48.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000,48.000000,48.000000,48.000000,48.000000,47.000000,47.000000,47.000000,47.000000,46.000000,46.000000,45.000000,45.000000,45.000000,44.000000,44.000000,43.000000,43.000000,42.000000,42.000000,41.000000,41.000000,40.000000,40.000000,39.000000,38.000000,38.000000,37.000000,37.000000,36.000000,35.000000,35.000000,34.000000,33.000000,33.000000,32.000000,31.000000,31.000000,30.000000,29.000000,29.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,23.000000,23.000000,22.000000,22.000000,21.000000,20.000000,20.000000,19.000000,19.000000,18.000000,
18.000000,19.000000,20.000000,20.000000,21.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,30.000000,31.000000,31.000000,32.000000,33.000000,33.000000,34.000000,35.000000,35.000000,36.000000,36.000000,37.000000,38.000000,38.000000,39.000000,40.000000,40.000000,41.000000,41.000000,42.000000,42.000000,43.000000,43.000000,44.000000,44.000000,45.000000,45.000000,46.000000,46.000000,47.000000,47.000000,47.000000,48.000000,48.000000,48.000000,48.000000,49.000000,49.000000,49.000000,49.000000,49.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,49.000000,49.000000,49.000000,49.000000,49.000000,48.000000,48.000000,48.000000,48.000000,47.000000,47.000000,47.000000,46.000000,46.000000,45.000000,45.000000,44.000000,44.000000,43.000000,43.000000,42.000000,42.000000,41.000000,41.000000,40.000000,40.000000,39.000000,38.000000,38.000000,37.000000,36.000000,36.000000,35.000000,35.000000,34.000000,33.000000,33.000000,32.000000,31.000000,31.000000,30.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,25.000000,24.000000,23.000000,23.000000,22.000000,21.000000,21.000000,20.000000,20.000000,19.000000,18.000000,
19.000000,19.000000,20.000000,20.500000,21.000000,22.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,30.000000,30.000000,31.000000,32.000000,32.000000,33.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,38.000000,38.000000,39.000000,40.000000,40.000000,41.000000,41.000000,42.000000,43.000000,43.000000,44.000000,44.000000,45.000000,45.000000,46.000000,46.000000,46.000000,47.000000,47.000000,48.000000,48.000000,48.000000,49.000000,49.000000,49.000000,49.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,49.000000,49.000000,49.000000,49.000000,48.000000,48.000000,48.000000,47.000000,47.000000,46.000000,46.000000,46.000000,45.000000,45.000000,44.000000,44.000000,43.000000,43.000000,42.000000,41.000000,41.000000,40.000000,40.000000,39.000000,38.000000,38.000000,37.000000,36.000000,36.000000,35.000000,34.000000,34.000000,33.000000,32.000000,32.000000,31.000000,30.000000,30.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,24.000000,24.000000,23.000000,22.000000,22.000000,21.000000,20.000000,19.750000,19.000000,19.000000,
19.000000,19.000000,20.000000,21.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,29.000000,29.000000,30.000000,31.000000,31.000000,32.000000,33.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,38.000000,38.000000,39.000000,40.000000,40.000000,41.000000,41.000000,42.000000,43.000000,43.000000,44.000000,44.000000,45.000000,45.000000,46.000000,46.000000,47.000000,47.000000,48.000000,48.000000,48.000000,49.000000,49.000000,49.000000,50.000000,50.000000,50.000000,50.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,51.000000,50.000000,50.000000,50.000000,50.000000,49.000000,49.000000,49.000000,48.000000,48.000000,48.000000,47.000000,47.000000,46.000000,46.000000,45.000000,45.000000,44.000000,44.000000,43.000000,43.000000,42.000000,41.000000,41.000000,40.000000,40.000000,39.000000,38.000000,38.000000,37.000000,36.000000,36.000000,35.000000,34.000000,34.000000,33.000000,32.000000,31.000000,31.000000,30.000000,29.000000,29.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,23.000000,23.000000,22.000000,21.000000,21.000000,20.000000,19.000000,19.000000,
19.000000,20.000000,20.000000,21.000000,22.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,30.000000,30.000000,31.000000,32.000000,33.000000,33.000000,34.000000,35.000000,35.000000,36.000000,37.000000,37.000000,38.000000,39.000000,39.000000,40.000000,41.000000,41.000000,42.000000,43.000000,43.000000,44.000000,44.000000,45.000000,45.000000,46.000000,46.000000,47.000000,47.000000,48.000000,48.000000,49.000000,49.000000,49.000000,50.000000,50.000000,50.000000,51.000000,51.000000,51.000000,51.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,51.000000,51.000000,51.000000,51.000000,50.000000,50.000000,50.000000,49.000000,49.000000,49.000000,48.000000,48.000000,47.000000,47.000000,46.000000,46.000000,45.000000,45.000000,44.000000,44.000000,43.000000,43.000000,42.000000,41.000000,41.000000,40.000000,39.000000,39.000000,38.000000,37.000000,37.000000,36.000000,35.000000,35.000000,34.000000,33.000000,33.000000,32.000000,31.000000,30.000000,30.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,24.000000,24.000000,23.000000,22.000000,22.000000,21.000000,20.000000,20.000000,19.000000,
19.000000,20.000000,21.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,29.000000,29.000000,30.000000,31.000000,32.000000,32.000000,33.000000,34.000000,34.000000,35.000000,36.000000,37.000000,37.000000,38.000000,39.000000,39.000000,40.000000,41.000000,41.000000,42.000000,43.000000,43.000000,44.000000,44.000000,45.000000,46.000000,46.000000,47.000000,47.000000,48.000000,48.000000,49.000000,49.000000,49.000000,50.000000,50.000000,51.000000,51.000000,51.000000,51.000000,52.000000,52.000000,52.000000,52.000000,52.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,52.000000,52.000000,52.000000,52.000000,51.625000,51.000000,51.000000,51.000000,51.000000,50.000000,50.000000,49.000000,49.000000,49.000000,48.000000,48.000000,47.000000,47.000000,46.000000,46.000000,45.000000,44.000000,44.000000,43.000000,43.000000,42.000000,41.000000,41.000000,40.000000,39.000000,39.000000,38.000000,37.000000,37.000000,36.000000,35.000000,34.000000,34.000000,33.000000,32.000000,32.000000,31.000000,30.000000,29.000000,29.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,23.000000,23.000000,22.000000,21.000000,21.000000,20.000000,19.000000,
20.000000,20.000000,21.000000,22.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,30.000000,31.000000,31.000000,32.000000,33.000000,33.000000,34.000000,35.000000,36.000000,36.000000,37.000000,38.000000,38.000000,39.000000,40.000000,41.000000,41.000000,42.000000,43.000000,43.000000,44.000000,44.000000,45.000000,46.000000,46.000000,47.000000,47.000000,48.000000,48.000000,49.000000,49.000000,50.000000,50.000000,50.000000,51.000000,51.000000,52.000000,52.000000,52.000000,52.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,54.000000,54.000000,54.000000,54.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,53.000000,52.000000,52.000000,52.000000,52.000000,51.000000,51.000000,50.000000,50.000000,50.000000,49.000000,49.000000,48.000000,48.000000,47.000000,47.000000,46.000000,46.000000,45.000000,44.000000,44.000000,43.000000,43.000000,42.000000,41.000000,41.000000,40.000000,39.000000,38.000000,38.000000,37.000000,36.000000,36.000000,35.000000,34.000000,33.000000,33.000000,32.000000,31.000000,31.000000,30.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,24.000000,24.000000,23.000000,22.000000,22.000000,21.000000,20.000000,20.000000,
20.000000,21.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,25.000000,26.000000,27.000000,27.000000,28.000000,29.000000,30.000000,30.000000,31.000000,32.000000,32.000000,33.000000,34.000000,35.000000,35.000000,36.000000,37.000000,38.000000,38.000000,39.000000,40.000000,40.000000,41.000000,42.000000,42.000000,43.000000,44.000000,44.000000,45.000000,46.000000,46.000000,47.000000,47.000000,48.000000,48.000000,49.000000,49.000000,50.000000,50.000000,51.000000,51.000000,51.000000,52.000000,52.000000,53.000000,53.000000,53.000000,53.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,54.000000,53.000000,53.000000,53.000000,53.000000,52.000000,52.000000,51.000000,51.000000,51.000000,50.000000,50.000000,49.000000,49.000000,48.000000,48.000000,47.000000,47.000000,46.000000,46.000000,45.000000,44.000000,44.000000,43.000000,42.000000,42.000000,41.000000,40.000000,40.000000,39.000000,38.000000,38.000000,37.000000,36.000000,35.000000,35.000000,34.000000,33.000000,32.000000,32.000000,31.000000,30.000000,30.000000,29.000000,28.000000,27.000000,27.000000,26.000000,25.000000,25.000000,24.000000,23.000000,23.000000,22.000000,21.000000,21.000000,20.000000,
20.000000,21.000000,22.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,26.000000,27.000000,28.000000,28.000000,29.000000,30.000000,31.000000,31.000000,32.000000,33.000000,34.000000,34.000000,35.000000,36.000000,37.000000,37.000000,38.000000,39.000000,39.000000,40.000000,41.000000,42.000000,42.000000,43.000000,44.000000,44.000000,45.000000,46.000000,46.000000,47.000000,47.000000,48.000000,48.000000,49.000000,49.000000,50.000000,50.000000,51.000000,51.000000,52.000000,52.000000,53.000000,53.000000,53.000000,53.000000,54.000000,54.000000,54.000000,54.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,54.000000,54.000000,54.000000,54.000000,53.000000,53.000000,53.000000,53.000000,52.000000,52.000000,51.000000,51.000000,50.000000,50.000000,49.000000,49.000000,48.000000,48.000000,47.000000,47.000000,46.000000,46.000000,45.000000,44.000000,44.000000,43.000000,42.000000,42.000000,41.000000,40.000000,39.000000,39.000000,38.000000,37.000000,37.000000,36.000000,35.000000,34.000000,34.000000,33.000000,32.000000,31.000000,31.000000,30.000000,29.000000,28.000000,28.000000,27.000000,26.000000,26.000000,25.000000,24.000000,24.000000,23.000000,22.000000,22.000000,21.000000,20.000000,
20.000000,21.000000,22.000000,22.000000,23.000000,24.000000,24.000000,25.000000,26.000000,27.000000,27.000000,28.000000,29.000000,30.000000,30.000000,31.000000,32.000000,33.000000,33.000000,34.000000,35.000000,36.000000,36.000000,37.000000,38.000000,38.000000,39.000000,40.000000,41.000000,41.000000,42.000000,43.000000,43.000000,44.000000,45.000000,45.000000,46.000000,47.000000,47.000000,48.000000,48.000000,49.000000,50.000000,50.000000,51.000000,51.000000,52.000000,52.000000,52.000000,53.000000,53.000000,53.000000,54.000000,54.000000,54.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,55.000000,55.000000,55.000000,55.000000,55.000000,55.000000,54.000000,54.000000,54.000000,53.000000,53.000000,53.000000,52.000000,52.000000,52.000000,51.000000,51.000000,50.000000,50.000000,49.000000,48.000000,48.000000,47.000000,47.000000,46.000000,45.000000,45.000000,44.000000,43.000000,43.000000,42.000000,41.000000,41.000000,40.000000,39.000000,38.000000,38.000000,37.000000,36.000000,36.000000,35.000000,34.000000,33.000000,33.000000,32.000000,31.000000,30.000000,30.000000,29.000000,28.000000,27.000000,27.000000,26.000000,25.000000,24.000000,24.000000,23.000000,22.000000,22.000000,21.000000,20.000000,
21.000000,21.000000,22.000000,23.000000,23.000000,24.000000,25.000000,25.000000,26.000000,27.000000,28.000000,28.000000,29.000000,30.000000,31.000000,31.000000,32.000000,33.000000,34.000000,34.000000,35.000000,36.000000,37.000000,37.000000,38.000000,39.000000,40.000000,40.000000,41.000000,42.000000,43.000000,43.000000,44.000000,45.000000,45.000000,46.000000,47.000000,47.000000,48.000000,48.000000,49.000000,50.000000,50.000000,51.000000,51.000000,52.000000,52.000000,53.000000,53.000000,53.000000,54.000000,54.000000,54.000000,55.000000,55.000000,55.000000,55.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,56.000000,55.000000,55.000000,55.000000,55.000000,54.000000,54.000000,54.000000,53.000000,53.000000,53.000000,52.000000,52.000000,51.250000,51.000000,50.000000,50.000000,49.000000,48.000000,48.000000,47.000000,47.000000,46.000000,45.000000,45.000000,44.000000,43.000000,43.000000,42.000000,41.000000,40.000000,40.000000,39.000000,38.000000,37.000000,37.000000,36.000000,35.000000,34.000000,34.000000,33.000000,32.000000,31.000000,31.000000,30.000000,29.000000,28.000000,28.000000,27.000000,26.000000,25.000000,25.000000,24.000000,23.000000,23.000000,22.000000,21.000000,21.000000,
